lexicon,homophones_type,homophones_token,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_comp,bppair,tdpair,kgpair,avg_lev_diff,avg_lev_same,confpairs,distpairs,confpairs_init,distpairs_init,diffpos,mpsinit,mpslast,1entropy,2entropy,3entropy,4entropy,5entropy,pctunique1,pctunique2,pctunique3,pctunique4,pctunique5,1endentropy,2endentropy,3endentropy,4endentropy,5endentropy,pctendunique1,pctendunique2,pctendunique3,pctendunique4,pctendunique5,3_pctunique1,3_pctunique2,3_pctunique3,4_pctunique1,4_pctunique2,4_pctunique3,4_pctunique4,5_pctunique1,5_pctunique2,5_pctunique3,5_pctunique4,5_pctunique5,6_pctunique1,6_pctunique2,6_pctunique3,6_pctunique4,6_pctunique5,6_pctunique6,3_pctendunique1,3_pctendunique2,3_pctendunique3,4_pctendunique1,4_pctendunique2,4_pctendunique3,4_pctendunique4,5_pctendunique1,5_pctendunique2,5_pctendunique3,5_pctendunique4,5_pctendunique5,6_pctendunique1,6_pctendunique2,6_pctendunique3,6_pctendunique4,6_pctendunique5,6_pctendunique6
real,0,0,18508,22523,4.96009179143,6197,0.217540644211,0.3473757662,0.662901403905,131,193,120,0.00440381113371,0.00498622549092,510,197,510,197,0,8289,5081,4.39234187549,8.0054201918,10.8899157885,11.7469455126,11.3675037908,0.000161368404066,0.016943682427,0.285783443602,0.773761497499,0.963369372277,4.39696085437,7.77168555922,10.6522577448,11.6288448485,11.3315362513,0.0,0.0135549459416,0.274487655317,0.736969501372,0.952234952396,0.00358166189112,0.0637535816619,1.0,0.000544662309368,0.0511982570806,0.436819172113,1.0,0.00150829562594,0.0701357466063,0.487933634992,0.829562594268,1.0,0.00512163892446,0.112676056338,0.514724711908,0.833546734955,0.955185659411,1.0,0.0,0.0515759312321,1.0,0.0,0.0452069716776,0.35348583878,1.0,0.00301659125189,0.0678733031674,0.333333333333,0.691553544495,1.0,0.00256081946223,0.0934699103713,0.399487836108,0.768245838668,0.921895006402,1.0
0,0,0,16207,20185,4.97479803687,6197,0.214973284913,0.332256172201,0.672422139745,113,154,96,0.00421090562298,0.00395755483027,415,176,415,176,0,7145,4563,4.45151877474,8.06164155351,10.8545319604,11.605114227,11.2865909348,0.000161368404066,0.0100048410521,0.224947555269,0.678392770695,0.929320639019,4.41540808098,7.88768998963,10.710475022,11.5584983619,11.2673036206,0.0,0.0125867355172,0.259641762143,0.691624979829,0.927545586574,0.00143266475645,0.0752148997135,1.0,0.00108932461874,0.0604575163399,0.460784313725,1.0,0.0,0.077677224736,0.466817496229,0.77149321267,1.0,0.00512163892446,0.121638924456,0.554417413572,0.79257362356,0.916773367478,1.0,0.000716332378224,0.0616045845272,1.0,0.0,0.0495642701525,0.35348583878,1.0,0.00150829562594,0.078431372549,0.355957767722,0.674208144796,1.0,0.00128040973111,0.1152368758,0.396927016645,0.696542893726,0.852752880922,1.0
1,0,0,16553,20530,4.97005829577,6197,0.210749725359,0.330771718185,0.683233822817,126,147,105,0.00426231564907,0.00408641051027,450,190,450,190,0,7285,4674,4.43067187802,8.04474864598,10.8260737916,11.611811831,11.2750460933,0.000161368404066,0.0137163143457,0.210263030499,0.678392770695,0.925286428917,4.42356063302,7.85542662336,10.6795773857,11.5720721084,11.2684002085,0.0,0.0137163143457,0.264805551073,0.69920929482,0.928029691786,0.0,0.0759312320917,1.0,0.00108932461874,0.0495642701525,0.438997821351,1.0,0.0,0.0746606334842,0.458521870287,0.806184012066,1.0,0.00256081946223,0.113956466069,0.550576184379,0.811779769526,0.914212548015,1.0,0.0,0.054441260745,1.0,0.0,0.0424836601307,0.349128540305,1.0,0.000754147812971,0.0686274509804,0.34766214178,0.677978883861,1.0,0.0,0.1152368758,0.426376440461,0.692701664533,0.877080665813,1.0
2,0,0,16051,19976,4.97748145071,6197,0.21230390638,0.339948309268,0.678070033887,107,141,113,0.00415477908074,0.00393743812073,429,188,429,188,0,7313,4489,4.47512689085,8.10166021339,10.8798076267,11.6312234185,11.2721038853,0.000161368404066,0.0103275778603,0.218170082298,0.686299822495,0.925447797321,4.44271092299,7.87583707952,10.6971904882,11.5689938963,11.2357507781,0.000161368404066,0.0132322091335,0.259803130547,0.690011295788,0.91350653542,0.0,0.0730659025788,1.0,0.0,0.0522875816993,0.473311546841,1.0,0.000754147812971,0.0716440422323,0.47209653092,0.790346907994,1.0,0.00128040973111,0.128040973111,0.546734955186,0.798975672215,0.916773367478,1.0,0.000716332378224,0.060888252149,1.0,0.0,0.0359477124183,0.33605664488,1.0,0.00301659125189,0.0754147812971,0.349924585219,0.678733031674,1.0,0.0,0.101152368758,0.411011523688,0.696542893726,0.856594110115,1.0
3,0,0,16402,20433,4.9750067532,6197,0.210937668732,0.336282951647,0.669517508472,110,165,113,0.00426844712007,0.00399724455449,452,169,452,169,0,7279,4656,4.43570913325,8.06195706851,10.8568916375,11.6314028055,11.2559116662,0.0,0.0114571566887,0.222688397612,0.687590769727,0.920445376795,4.42681989484,7.88808095732,10.7041568778,11.5729635121,11.2560506336,0.0,0.0159754720026,0.260287235759,0.70001613684,0.925770534129,0.0,0.0709169054441,1.0,0.0016339869281,0.0462962962963,0.45697167756,1.0,0.00226244343891,0.0746606334842,0.477375565611,0.807692307692,1.0,0.00256081946223,0.124199743918,0.546734955186,0.814340588988,0.943661971831,1.0,0.0,0.0537249283668,1.0,0.000544662309368,0.0430283224401,0.345315904139,1.0,0.00226244343891,0.0746606334842,0.381598793363,0.70060331825,1.0,0.00256081946223,0.120358514725,0.421254801536,0.69014084507,0.866837387964,1.0
4,0,0,16184,20187,4.97748030477,6197,0.20742500847,0.333891273541,0.68371792803,105,160,107,0.00414298779035,0.0040233419074,438,174,438,174,0,7178,4640,4.46331497196,8.07958935138,10.8371189562,11.591275558,11.25840142,0.0,0.0116185250928,0.215588187833,0.676940455059,0.91867032435,4.42838353822,7.90089558069,10.7258820094,11.5537728085,11.2619474862,0.0,0.0130708407294,0.262869130224,0.690172664192,0.926416007746,0.000716332378224,0.0766475644699,1.0,0.00108932461874,0.0490196078431,0.449891067538,1.0,0.000754147812971,0.0671191553544,0.460030165913,0.791101055807,1.0,0.00256081946223,0.145966709347,0.530089628681,0.784891165173,0.915492957746,1.0,0.0,0.0558739255014,1.0,0.0,0.0522875816993,0.357298474946,1.0,0.00150829562594,0.0663650075415,0.353695324284,0.656108597285,1.0,0.00384122919334,0.119078104994,0.431498079385,0.728553137004,0.897567221511,1.0
5,0,0,16393,20463,4.97486054238,6197,0.207857103837,0.330473481373,0.664837824754,105,153,103,0.00431749888808,0.00393580703617,425,181,425,181,0,7232,4740,4.45080562253,8.07234234922,10.8266305237,11.5990888381,11.2487964182,0.000161368404066,0.0101662094562,0.216233661449,0.674519928998,0.915120219461,4.44351242755,7.89802972565,10.701276325,11.5631873901,11.2753009127,0.000161368404066,0.0143617879619,0.258028078102,0.693400032274,0.928029691786,0.000716332378224,0.0694842406877,1.0,0.000544662309368,0.0539215686275,0.448801742919,1.0,0.000754147812971,0.0754147812971,0.487179487179,0.797134238311,1.0,0.00384122919334,0.106274007682,0.545454545455,0.83866837388,0.941101152369,1.0,0.0,0.0551575931232,1.0,0.0,0.0452069716776,0.355119825708,1.0,0.00377073906486,0.0754147812971,0.364253393665,0.697586726998,1.0,0.0,0.102432778489,0.403329065301,0.677336747759,0.860435339309,1.0
6,0,0,16334,20341,4.97608429619,6197,0.213250754646,0.334352210075,0.669356140068,100,170,96,0.00419345451321,0.00404672078605,431,165,431,165,0,7318,4653,4.46698800773,8.07420142843,10.8373207263,11.621422694,11.257232245,0.000161368404066,0.0103275778603,0.220106503147,0.682588349201,0.920768113603,4.44915991447,7.88806336467,10.697266298,11.5550930294,11.2677237633,0.0,0.0114571566887,0.258512183315,0.694690979506,0.929482007423,0.000716332378224,0.0694842406877,1.0,0.000544662309368,0.0566448801743,0.460239651416,1.0,0.00150829562594,0.0693815987934,0.456259426848,0.797134238311,1.0,0.00512163892446,0.128040973111,0.546734955186,0.78104993598,0.900128040973,1.0,0.0,0.0558739255014,1.0,0.0,0.0479302832244,0.338779956427,1.0,0.00150829562594,0.0573152337858,0.329562594268,0.65987933635,1.0,0.00128040973111,0.10371318822,0.451984635083,0.749039692702,0.889884763124,1.0
7,0,0,16376,20436,4.9727102485,6197,0.210589349895,0.32953007544,0.680006454736,114,160,106,0.00424156297799,0.00401409909491,450,182,450,182,0,7271,4601,4.45368652236,8.06833746524,10.8335061613,11.6143178392,11.2751403128,0.0,0.012102630305,0.218492819106,0.682265612393,0.924479586897,4.42575847345,7.87128422719,10.6647575995,11.5398720006,11.2583611444,0.0,0.0142004195579,0.258996288527,0.680813296756,0.925125060513,0.00214899713467,0.0680515759312,1.0,0.0,0.0522875816993,0.46568627451,1.0,0.000754147812971,0.077677224736,0.467571644042,0.825037707391,1.0,0.00256081946223,0.1152368758,0.521126760563,0.823303457106,0.943661971831,1.0,0.0,0.0530085959885,1.0,0.0,0.0522875816993,0.342047930283,1.0,0.00150829562594,0.0731523378582,0.318250377074,0.651583710407,1.0,0.00256081946223,0.101152368758,0.421254801536,0.696542893726,0.877080665813,1.0
8,0,0,16415,20406,4.97865509592,6197,0.212709365491,0.334298219668,0.68968855898,105,143,100,0.00423212994568,0.0040461770912,409,165,409,165,0,7252,4735,4.4433976679,8.06735687454,10.8450491267,11.6327469727,11.2772763043,0.000161368404066,0.0100048410521,0.214781345812,0.688720348556,0.927061481362,4.42888890764,7.90571894116,10.7034035306,11.5563231151,11.2430313495,0.000161368404066,0.0127481039213,0.253832499597,0.693561400678,0.919638534775,0.00143266475645,0.0795128939828,1.0,0.000544662309368,0.0550108932462,0.440087145969,1.0,0.00150829562594,0.0708898944193,0.454751131222,0.798642533937,1.0,0.00128040973111,0.134443021767,0.56338028169,0.822023047375,0.937259923175,1.0,0.0,0.054441260745,1.0,0.000544662309368,0.0511982570806,0.368736383442,1.0,0.00150829562594,0.0663650075415,0.343891402715,0.6802413273,1.0,0.00384122919334,0.0960307298335,0.432778489117,0.699103713188,0.86171574904,1.0
